epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.19239,1.21591,4.97752,1.34962,0,0,0,0,0.95252,4.69303,1.14096,3.12e-05,3.12e-05,3.12e-05
2,8.23761,1.12305,4.7671,1.24856,0,0,0,0,0.95511,4.49484,1.08142,6.25743e-05,6.25743e-05,6.25743e-05
3,11.3584,1.07439,4.47365,1.20617,0.02642,0.05436,0.03003,0.02218,0.92436,4.16624,1.07217,9.3315e-05,9.3315e-05,9.3315e-05
4,14.389,1.08313,4.2049,1.23726,0.82,0.0385,0.05641,0.04211,0.90652,3.74677,1.1233,9.31488e-05,9.31488e-05,9.31488e-05
5,17.4195,1.06906,3.85512,1.25201,0.81513,0.05327,0.06955,0.05087,0.89811,3.45899,1.14855,9.21984e-05,9.21984e-05,9.21984e-05
6,20.4536,1.0707,3.5546,1.26891,0.90438,0.0613,0.08645,0.06396,0.90183,3.24411,1.163,9.1248e-05,9.1248e-05,9.1248e-05
7,23.4974,1.07755,3.25769,1.27572,0.86613,0.07653,0.09975,0.07436,0.9054,2.91418,1.16882,9.02976e-05,9.02976e-05,9.02976e-05
8,26.5524,1.06413,3.02986,1.27483,0.84865,0.09167,0.11536,0.08421,0.92416,2.67385,1.18976,8.93472e-05,8.93472e-05,8.93472e-05
9,29.7067,1.08482,2.78807,1.30617,0.82317,0.10893,0.13947,0.10588,0.91252,2.47323,1.19026,8.83968e-05,8.83968e-05,8.83968e-05
10,32.7714,1.08181,2.60334,1.3024,0.73714,0.13701,0.15045,0.11111,0.91487,2.34007,1.2007,8.74464e-05,8.74464e-05,8.74464e-05
11,36.1244,1.07207,2.42807,1.2905,0.79208,0.13453,0.16487,0.12484,0.90508,2.23698,1.199,8.6496e-05,8.6496e-05,8.6496e-05
12,39.5309,1.08363,2.27402,1.31833,0.72709,0.17061,0.17811,0.1355,0.90146,2.13376,1.19464,8.55456e-05,8.55456e-05,8.55456e-05
13,42.7483,1.04989,2.09159,1.28928,0.7625,0.18388,0.18781,0.1412,0.89062,2.02446,1.18449,8.45952e-05,8.45952e-05,8.45952e-05
14,45.9447,1.04232,2.0024,1.29591,0.76204,0.1959,0.21614,0.16506,0.89407,1.96673,1.19837,8.36448e-05,8.36448e-05,8.36448e-05
15,49.1458,1.03398,1.87825,1.28297,0.83846,0.18529,0.22763,0.17448,0.90903,1.92428,1.19519,8.26944e-05,8.26944e-05,8.26944e-05
16,52.1881,1.04678,1.87954,1.29519,0.75764,0.21029,0.23278,0.17764,0.91146,1.84886,1.19532,8.1744e-05,8.1744e-05,8.1744e-05
17,55.4675,1.03674,1.71254,1.28327,0.79545,0.19491,0.23454,0.17855,0.89071,1.80694,1.18032,8.07936e-05,8.07936e-05,8.07936e-05
18,58.5145,1.0339,1.65331,1.28295,0.79038,0.2062,0.2292,0.17266,0.88724,1.75217,1.18398,7.98432e-05,7.98432e-05,7.98432e-05
19,61.6609,1.00638,1.63404,1.25722,0.79464,0.21714,0.2464,0.18833,0.88227,1.70425,1.18365,7.88928e-05,7.88928e-05,7.88928e-05
20,64.7316,0.99537,1.5798,1.25403,0.7745,0.22572,0.24691,0.18892,0.86472,1.66257,1.16191,7.79424e-05,7.79424e-05,7.79424e-05
21,67.8966,1.01408,1.59094,1.26199,0.76215,0.23796,0.27836,0.21246,0.8725,1.61418,1.16975,7.6992e-05,7.6992e-05,7.6992e-05
22,70.9544,0.9952,1.53915,1.25727,0.75286,0.25291,0.29419,0.22472,0.86478,1.59031,1.16471,7.60416e-05,7.60416e-05,7.60416e-05
23,74.0084,0.98412,1.47504,1.24848,0.81359,0.22034,0.30444,0.2337,0.87551,1.56998,1.17851,7.50912e-05,7.50912e-05,7.50912e-05
24,77.0802,0.98094,1.48104,1.23394,0.74309,0.26049,0.30916,0.23565,0.877,1.53616,1.16459,7.41408e-05,7.41408e-05,7.41408e-05
25,80.2132,0.97685,1.44606,1.23852,0.75978,0.27501,0.32469,0.25008,0.86187,1.50306,1.15253,7.31904e-05,7.31904e-05,7.31904e-05
26,83.283,0.97156,1.43444,1.23344,0.80424,0.23217,0.34071,0.25943,0.85191,1.47386,1.14707,7.224e-05,7.224e-05,7.224e-05
27,86.355,0.95541,1.42697,1.21574,0.77488,0.26822,0.35613,0.26844,0.85236,1.46468,1.15677,7.12896e-05,7.12896e-05,7.12896e-05
28,89.4386,0.94228,1.36121,1.22371,0.77347,0.26926,0.36034,0.27187,0.83943,1.41029,1.13987,7.03392e-05,7.03392e-05,7.03392e-05
29,92.5254,0.93983,1.38808,1.21128,0.75929,0.29271,0.37013,0.28218,0.85789,1.41166,1.14788,6.93888e-05,6.93888e-05,6.93888e-05
30,95.6341,0.9394,1.30913,1.20882,0.75169,0.28467,0.37474,0.28833,0.84792,1.38351,1.14684,6.84384e-05,6.84384e-05,6.84384e-05
31,98.903,0.94592,1.31683,1.22175,0.75059,0.28181,0.37338,0.28896,0.8481,1.37467,1.15244,6.7488e-05,6.7488e-05,6.7488e-05
32,102.141,0.92711,1.2898,1.20186,0.67771,0.32059,0.37018,0.28823,0.84804,1.3561,1.15013,6.65376e-05,6.65376e-05,6.65376e-05
33,105.174,0.91618,1.29221,1.20478,0.63614,0.34479,0.38717,0.29739,0.83823,1.34393,1.14356,6.55872e-05,6.55872e-05,6.55872e-05
34,108.215,0.91916,1.25809,1.19021,0.6745,0.3615,0.41062,0.31904,0.83506,1.31159,1.13907,6.46368e-05,6.46368e-05,6.46368e-05
35,111.353,0.90791,1.22151,1.19667,0.63009,0.37658,0.39899,0.30968,0.83501,1.30339,1.14061,6.36864e-05,6.36864e-05,6.36864e-05
36,114.476,0.90229,1.23182,1.19581,0.71456,0.3599,0.41102,0.32258,0.82691,1.27131,1.13399,6.2736e-05,6.2736e-05,6.2736e-05
37,117.558,0.89805,1.21557,1.18576,0.74849,0.33896,0.41913,0.32403,0.8407,1.24419,1.15707,6.17856e-05,6.17856e-05,6.17856e-05
38,120.586,0.90314,1.22304,1.19623,0.6459,0.3876,0.43042,0.34188,0.82545,1.2501,1.13654,6.08352e-05,6.08352e-05,6.08352e-05
39,123.627,0.88549,1.16202,1.17368,0.68699,0.3766,0.43648,0.34478,0.82813,1.23261,1.13643,5.98848e-05,5.98848e-05,5.98848e-05
40,126.674,0.8871,1.17327,1.17541,0.672,0.39023,0.4392,0.34107,0.83211,1.22001,1.13343,5.89344e-05,5.89344e-05,5.89344e-05
41,129.703,0.89246,1.12246,1.1634,0.63245,0.39565,0.45042,0.35155,0.85099,1.23447,1.14245,5.7984e-05,5.7984e-05,5.7984e-05
42,132.765,0.88569,1.13355,1.17009,0.66612,0.40031,0.45484,0.35793,0.8241,1.21857,1.12777,5.70336e-05,5.70336e-05,5.70336e-05
43,135.809,0.88174,1.1577,1.16715,0.64066,0.42631,0.4555,0.36207,0.81698,1.18617,1.12428,5.60832e-05,5.60832e-05,5.60832e-05
